region_i,region_j,shared_cps,vc_distance
1,2,"[8, 4]",16.386415249033718
1,7,"[8, 7]",15.678784339518836
2,3,"[1, 9]",15.887722106613824
2,13,"[8, 9]",16.692080092608148
3,5,"[12, 5]",18.960463535719366
3,14,"[9, 12]",18.305111971305482
4,5,"[2, 11]",19.13691134161358
4,6,"[10, 6]",14.516122202990482
4,9,"[10, 11]",17.40087745222751
5,10,"[11, 12]",15.732733048687866
6,17,"[10, 13]",16.046550998495587
7,8,"[16, 14]",17.85401282770613
7,13,"[8, 14]",15.995178777522254
8,16,"[25, 14]",19.510445072157797
8,29,"[25, 21]",19.054515093621525
9,10,"[17, 11]",16.803040496206577
9,12,"[17, 15]",17.90752112960287
9,17,"[10, 15]",16.899775670862123
10,11,"[17, 18]",16.828836464048457
10,14,"[18, 12]",16.58123990737613
11,12,"[17, 27]",17.834894586033716
11,15,"[24, 18]",16.07243492720097
11,19,"[24, 27]",17.174938372076024
12,18,"[15, 23]",16.71543400791672
12,20,"[27, 23]",18.322916631717003
13,14,"[9, 19]",18.136533383764284
13,16,"[19, 14]",17.3236459179601
14,15,"[18, 19]",17.48726109355007
15,16,"[19, 22]",17.004409924130577
15,23,"[24, 22]",16.334711154424244
16,24,"[25, 22]",18.858227508634787
17,18,"[20, 15]",17.335891964189756
18,27,"[26, 23]",18.20565130584663
19,20,"[27, 28]",15.914564433161894
19,22,"[28, 29]",16.936826933647087
19,23,"[24, 29]",17.91926960684956
20,21,"[28, 30]",14.349490524166786
20,27,"[30, 23]",16.527343880208907
21,22,"[35, 28]",16.85141862726966
21,28,"[40, 30]",16.109393327059646
21,33,"[40, 35]",16.81438610265976
22,26,"[41, 29]",18.09435297662588
22,34,"[41, 35]",17.280645436740766
23,24,"[22, 31]",18.30325351602207
23,26,"[29, 31]",18.19354264826135
24,25,"[32, 31]",15.553359542060484
24,29,"[32, 25]",15.151006920587534
25,26,"[38, 31]",16.235486000794225
25,30,"[32, 37]",17.99841716212914
25,31,"[37, 38]",16.72592529700151
26,32,"[41, 38]",14.871416456706966
27,28,"[33, 30]",15.858813054595164
28,36,"[40, 39]",16.16313072068047
29,30,"[32, 34]",17.490791944468267
30,35,"[36, 37]",15.401216252406318
31,32,"[42, 38]",16.046271690674686
31,35,"[37, 46]",17.628620091337293
32,34,"[41, 47]",16.483208661086458
33,34,"[43, 35]",17.319814367078443
33,36,"[48, 40]",16.395366945195903
